"קמיאנסקי, אורן",קביעות במועדונים,סטנדאפ פקטורי
"קנבסקי, אלה",במות פתוחות,
"קנובלר, שיר",במות פתוחות,
"קפח, יונה",פתיחת קופות,נשי ותהני
"קפלן, בוריס",במות פתוחות,
"קפלן, שחר",במות פתוחות,ערב הסטנדאפ החזק מאוד
"קפלנסקי, אסף",הופעות/כתיבה בטלוויזיה,כל מה שמצחיק בעולם
"קציר, עידו",הופעות/כתיבה בטלוויזיה,ערב הסטנדאפ המיותר
"קרול, מייק",אנגלית,דנסינג קאמל
"קריו, אופיר",במות פתוחות,
"קריו, דורין",פתיחת קופות,
"קרן, דרור",סטנדאפ לאחר כוכבות,
"קרן, חיה",במות פתוחות,
"קשאני, דור",במות פתוחות,
"ראובן, שיר",הופעות/כתיבה בטלוויזיה,סטנדאפ ואלרגיות
"ראודור, יונתן",במות פתוחות,"ערב הסטנדאפ של האלה, ערב הסטנדאפ האינטימי"
"ראיצ'יק, שמעון",קביעות במועדונים,"משחקי הקססה, סטנדאפ פקטורי"
"ראשון, טל",קביעות במועדונים,"הנרקיסיסטים, סטנדאפ פקטורי"
"רביד, דותן",קביעות במועדונים,קומדי בר
"רבינוביץ', יואב",הופעות/כתיבה בטלוויזיה,ערב הסטנדאפ המיותר
"רביץ, דורון",פתיחת קופות,
"רביץ, לני",פתיחת קופות,
"רהב, דורון",פתיחת קופות,"נשי ותהני, קאמל קומדי קלאב"
"רובין, ימית",במות פתוחות,
"רודריגז, נעמה",במות פתוחות,ערב הסטנדאפ האינטימי
"רוזין, נעמי",במות פתוחות,ערב הסטנדאפ המיותר
"רוזנברג, איל",פתיחת קופות,קומדי בר
"רוזנברג, גיל",במות פתוחות,ירושלים צוחקת
"רוזנברג, עמית",קביעות במועדונים,קאמל קומדי קלאב
"רוזנס, יעל",במות פתוחות,
"רום, ליאור",במות פתוחות,המיקרופון
"רומי, ליאור",במות פתוחות,
"רומם, שחר",במות פתוחות,סטנדאפ סמית
"רומנו, לירון",פתיחת קופות,קומדי בר
"רון, קרן",פתיחת קופות,
"רונן, עידן",במות פתוחות,ערב הסטנדאפ של צ'וטה
רועי וצפריר,פתיחת קופות,
"רוקח, צח",פתיחת קופות,סטנדאפ פקטורי
"רזניק, שי",במות פתוחות,
"רחמים, בר",במות פתוחות,
"רייס, עמית",במות פתוחות,האשכנזים
"רכס, דני",פתיחת קופות,
"רמז, אורית",פתיחת קופות,
"רצ'קובסקי, דניאל",הופעות/כתיבה בטלוויזיה,ערב הסטנדאפ המיותר
"רק, נעמה",במות פתוחות,
"שאינסקי, אודי חופש",במות פתוחות,ערב הסטנדאפ החמים
"שביט, ציפי",כוכבות,
"שבתאי, דנה",קביעות במועדונים,"ערב הסטנדאפ של האלה, קאמל קומדי קלאב"
"שגב מנשרי, שני",פתיחת קופות,מחשבות מסלול מחדש
"שגב, אריק",הופעות/כתיבה בטלוויזיה,
"שגב, יובל",פתיחת קופות,ישבנים קוראים שירה
"שגרן, רולנדה",פתיחת קופות,
"שוורץ, יורם",במות פתוחות,
